question,answer,option1,option2,option3,option4,type,link,difficulty,roundId,updatedAt
"""Hum me hai �."" is the Tagline of ",OPTION2,Honda,Hero,Yamaha,Royal Enfield,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Connecting People"" is the tagline of �..?",OPTION3,eKart,FedEx,Nokia,Vivo,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Connecting People Improving Lives"" is the Tagline of �...?",OPTION4,BlueDart,DTDC,Nokia,DHL,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Delivering Value"" is the tagline of �..?",OPTION4,eCom,Ekart Logistics,DHL,DTDC,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""The energy of India"" is the Tagline of �....?",OPTION3,HAL,NTPC,IOCL,Bharat Petroleum,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""We also make tomorrow"" is the tagline of �.?",OPTION1,TISCO,TELCO,SAIL,BHEL,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Alarm Bajne se pahle jago re"" is the Tagline of �..?",OPTION3,Ajanta Watches,Titan Watches,Tata Tea,Wagh Bakri Chay,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Taaza ho le"" is the Tagline of �..?",OPTION2,Reliance Fresh,Taaza Tea,Upper Assam Tea,Tata Tea,TEXT,,EASY,4,2024-11-14T12:11:55.212174
The Tagline of Indian Tourism is �..?,OPTION2,Padharo Mahare Desh,Incredible India,Just Imagine,Rang Biranga Desh,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""The man your man could smell like"" is the Tagline of �...?",OPTION3,Gillette,Park Avenue,Old Spice,Axe,TEXT,,EASY,4,2024-11-14T12:11:55.212174
Think Different is the Tagline of �...?,OPTION2,Orange,Apple,Grapes,Banana,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Twist, Lick, Dunk"" is the Tagline of �..?",OPTION3,Skittles,Rainbow,Oreo,Kellogs,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""The ultimate driving machine"" is the tagline of �.?",OPTION2,Maruti Suzuki,BMW,Innova,Skoda,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Made from the best stuff on earth"" is the tagline of �.?",OPTION1,Snapple,Apple,Axe,Ozone,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Get your own box"" is the tagline of �..?",OPTION1,Cheez it,Kellogs,McDonalds,None of these,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Dirty Mouth? Clean it up"" is the tagline of �.?",OPTION3,Colgate,Sensodyne,Orbit,Dabur Red Tooth Paste,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Taste of Feelinf"" is the Tagline of �..?",OPTION1,Coca Cola,Pepsi,Mirinda,7' UP,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""A passion for the road"" is the tagline of �..?",OPTION2,Mazda,Tata Safari,BMW,MRF Tyres,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""We know money"" is the tagline of �..?",OPTION2,AXA,AIG,Lombard,Dai Echi,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Dimag ki batti jala de"" is the tagline of �....?",OPTION1,Mentos,Cadbury,Dairy Milk,Nutrine,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""The taste of India"" id the tagline of �...?",OPTION3,Mother Dairy,Sudha,Amul,Ananda,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Tyres with muscles"" is the tagline of �.?",OPTION2,Micheline,MRF Tyres,Apollo Tyres,Bridgestone,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Whenever you go, your network follows"" is the tagline is�...?",OPTION3,Aircel,Airtel,Hutchison Essar,Reliance Jio,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Pure Banking, nothing else"" is the tagline of �..?",OPTION4,Punjan National Bank,Bsnk of Baroda,Axis Bank,State Bank of India,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Life's Good is the tagline of �..?",OPTION4,Samsung,Havells,Philips,LG,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Bajate Raho"" is the tagline of �.. ?",OPTION1,Red FM 93.5 ,All India Radio,Radio Mirchi,Vividh Bharti,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""India's International Bank"" is the tagline of �. ?",OPTION3,HDFC Bank Ltd.,ICICI Bank Lrd.,Bank of Baroda,Axis Bank,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Impossible is nothing"" is the tagline of � ?",OPTION2,Puma,Adidas,Nike,Wildcraft,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Born tough"" is the tagline of � ?",OPTION4,JK Tyres,Micheline,Good Year India,CEAT,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Experience Change"" is the tagline of �. ?",OPTION4,Acer,Bosch,BPL,Videocon,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Just do it"" is the tagline of � ?",OPTION2,Adidas,Nike,Wildcraft,Philips,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Value for Money"" is the tagline of � ?",OPTION1,Vishal Mega Mart,Decathalon,Big Bazar,Lu lu Mall,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Har needs ke liye best deals"" is the tagline of �. ?",OPTION1,Flipkart,Amazon,OLX,CarDekho.com,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""High Performance Delivered"" is the tagline of �. ?",OPTION3,HCL,TCS,Accenture,EXL,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Fly the new feelings"" is the tagline of �.? ",OPTION2,Yellow Pages,Vistara,Air India,Indigo,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Zindagi ke sath bhi zindagi ke bad bhi"" is the tagline of �..?",OPTION4,Bharti Axa Life Insurance,Star Union Dai Ichi,ICICI Prudential,LIC,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""The engineers choice"" is the tagline of �..?",OPTION3,ACC Cement,Shree Cement,Ultra Tech Cement,None of these,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Happiest place on earth"" is the tagline of �. ?",OPTION3,Switzerland,Kashmir,Disneyland,France,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""American by birth, Rebel by choice"" is the tagline of �. ?",OPTION1,Harley Davidson,Royal Enfield,Yezdi,Yamaha,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Supercharging progress"" is the tagline of .'� ?",OPTION2,IBM,HCL Tech,TCS,Satyam,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Share Moments Share Life"" is the tagline of �. ?",OPTION1,Kodak,Fuji,Konica,Kowa,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""�.... Gives you wings"" is the tagline of �.?",OPTION1,Red Bull,Biman Bangladesh,PIA,Saudia,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Khayal Apka"" is the tagline of �..?",OPTION2,PIA,ICICI Bank Ltd.,Saudia,HDFC Bank,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""We understabd your world"" is the tagline of �.?",OPTION3,Axis Bank,British Airways,HDFC Bank,Punjab and Sind Bank,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Better World"" is the tagline of �.. ?",OPTION3,UNO,IMF,British Airways,Biman Bangladesh,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Service Before Help"" is the tagline of �.?",OPTION1,IndiaPost,DTDC,US Airways,Sri Lankan Airlines,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Lets go places"" is the tagline of � ?",OPTION2,Innova,Toyota,Thar,BMW,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Everyone's invited"" is the tagline of � ?",OPTION1,Samsung,LG,Videocon,Havells,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""More creations, More possibilities"" is the tagline of � ?",OPTION4,Kenstar,Blue Star,Voltas,Haier,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""The worlds local bank"" is the tagline of � ?",OPTION1,HSBC,Standard Chartered Bank,Deutche Bank,Citibank,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""The steel of India"" is the tagline of � ?",OPTION3,Tata Steel,Larsen and Toubro,Jindal Steel,SAIL,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Dobara mat puchhna"" is the punchline of ... ?",OPTION1,ChlorMint,Dark Chocolates,Lindt Excellence,None of these,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Drivers wanted"" is the tagline of �.?",OPTION4,Innova,BMW,Maruti Suzuki,Volkswagen,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Always low prices"" is the tagline of �... ?",OPTION2,Big Bazar,Wall Mart,Vishal Mega Mart,None of these,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""The jeans that built America"" is the tagline of � ?",OPTION2,Levis,Lee,Allen Solly,Wrangler,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""The edge is efficiency"" is the tagline of �. ?",OPTION2,National Stock Exchange,Bombay Stock Exchange,OTC Exchange of India,Bangalore Stock Exchange,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""The tasty healthy food: World's largest selling biscuit"" is the tagline of � ?",OPTION2,Britannia,Parle,Oreo,Sunfeast,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""The good food, good life company"" is the tagline of �. ?",OPTION3,Sunfeast,Britannia,Nestle,The pizza hut,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Rise up baby"" is the tagline of �.. ?",OPTION1,Pepsico,Mirinda,7 UP,Limca,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Celebrate Life"" is the tagline of �. ?",OPTION2,Patanjali,Dabur,Himalya,None of these,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Discover a passion"" is the tagline of �. ?",OPTION2,Gold Flake,ITC Wills Classic Cigarrette,,None of these,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Small actions big difference"" is the tagline of   ?",OPTION2,ITC Ltd.,Hindustan Uniliver Limited,Reliance Indistries,Adani Edible Oils,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Highest Grade Honest Weight"" is the tagline of �. ?",OPTION1,P & G,ITC Kitchens of India,Sunfeast,Oreo,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Ek Balm Teen Kaam"" is the tagline of � ?",OPTION3,Amrutanjan Balm,Patanjali Balm,Zandu Balm,Dabur Balm,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Goodness of 7 natural oils"" is the tagline of �. ?",OPTION2,Keo Karpin,Emami Hair Oil,Patanjali Hair Oil,None of these,TEXT,,EASY,4,2024-11-14T12:11:55.212174
